Customer_ID,OrderCount,TotalRevenue,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12488,3,1298.66,9,5,3,4,534,Loyal Customers
12489,1,334.93,335,2,1,2,212,Lost
12490,21,9823.64,4,5,5,5,555,Champions
12491,1,460.40000000000003,38,4,1,2,412,Potential Loyalists
12492,3,715.21,62,3,3,3,333,Loyal Customers
12493,2,433.74,165,3,2,2,322,At Risk
12494,9,1815.27,15,5,5,4,554,Champions
12495,1,357.4,640,1,1,2,112,Lost
12496,2,45.34,619,1,2,1,121,Lost
12497,3,6248.5,81,3,3,5,335,Loyal Customers
12498,3,403.70000000000005,20,4,3,2,432,Potential Loyalists
12499,1,393.72,559,1,1,2,112,Lost
12500,19,5955.21,22,4,5,5,455,Champions
12501,1,2169.39,336,2,1,4,214,Lost
12502,5,3723.87,95,3,4,5,345,Champions
12503,1,1126.0,583,1,1,3,113,Lost
12504,4,779.05,17,5,3,3,533,Loyal Customers
12505,1,955.2,408,2,1,3,213,Lost
12506,1,73.5,232,2,1,1,211,Lost
12507,4,1844.06,133,3,3,4,334,Loyal Customers
12508,2,397.88,25,4,2,2,422,Potential Loyalists
12509,1,176.5,283,2,1,1,211,Lost
12510,9,5178.02,142,3,5,5,355,Champions
12511,1,3084.02,428,1,1,5,115,Lost
12512,2,132.18,65,3,2,1,321,At Risk
12513,1,612.29,112,3,1,3,313,At Risk
12514,2,1597.76,266,2,2,4,224,Lost
12515,1,383.7,352,2,1,2,212,Lost
12516,4,2648.62,77,3,3,4,334,Loyal Customers
12517,5,2481.6,27,4,4,4,444,Champions
12518,5,2056.89,0,5,4,4,544,Champions
12519,2,716.54,63,3,2,3,323,At Risk
12520,5,2634.26,78,3,4,4,344,Champions
12521,1,599.68,142,3,1,2,312,At Risk
12522,2,192.72,38,4,2,1,421,Potential Loyalists
12523,23,4352.35,18,5,5,5,555,Champions
12524,17,11126.11,8,5,5,5,555,Champions
12525,3,973.73,497,1,3,3,133,Loyal Customers
12526,3,1316.66,0,5,3,4,534,Loyal Customers
12527,5,735.51,81,3,4,3,343,Loyal Customers
12528,6,1933.48,8,5,4,4,544,Champions
12529,1,316.48,527,1,1,2,112,Lost
12530,9,3759.26,59,3,5,5,355,Champions
12531,2,1933.2,14,5,2,4,524,Potential Loyalists
12532,1,349.83000000000004,29,4,1,2,412,Potential Loyalists
12533,2,1367.89,627,1,2,4,124,Lost
12534,1,1089.18,130,3,1,3,313,At Risk
12535,2,716.35,91,3,2,3,323,At Risk
12536,3,12601.830000000002,42,4,3,5,435,Loyal Customers
12537,1,732.94,408,2,1,3,213,Lost
12538,2,640.45,28,4,2,3,423,Potential Loyalists
12539,7,11214.75,21,4,4,5,445,Champions
12540,33,22254.49,19,4,5,5,455,Champions
12541,3,981.18,29,4,3,3,433,Loyal Customers
12542,2,481.88,483,1,2,2,122,Lost
12543,1,980.25,447,1,1,3,113,Lost
12544,1,372.7,35,4,1,2,412,Potential Loyalists
12545,2,1000.39,74,3,2,3,323,At Risk
12546,2,1161.5,46,4,2,3,423,Potential Loyalists
12547,3,383.58,197,2,3,2,232,Lost
12548,1,95.19999999999999,165,3,1,1,311,At Risk
12549,6,1575.68,575,1,4,4,144,Champions
12550,1,964.83,78,3,1,3,313,At Risk
12551,1,168.0,357,2,1,1,211,Lost
12552,2,437.82,38,4,2,2,422,Potential Loyalists
12553,12,4608.75,7,5,5,5,555,Champions
12554,1,468.5,448,1,1,2,112,Lost
12555,1,129.23,681,1,1,1,111,Lost
12556,2,599.56,49,4,2,2,422,Potential Loyalists
12557,8,18096.14,15,5,4,5,545,Champions
12558,1,269.96,7,5,1,1,511,Potential Loyalists
12559,2,561.71,310,2,2,2,222,Lost
12560,3,2134.01,4,5,3,4,534,Loyal Customers
12561,1,238.85,302,2,1,1,211,Lost
12562,9,4966.92,7,5,5,5,555,Champions
12563,1,249.24,408,2,1,1,211,Lost
12564,1,456.9,260,2,1,2,212,Lost
12565,1,145.92,288,2,1,1,211,Lost
12566,1,351.65,85,3,1,2,312,At Risk
12567,15,11767.48,22,4,5,5,455,Champions
12568,1,70.0,644,1,1,1,111,Lost
12569,32,4124.69,1,5,5,5,555,Champions
12570,1,77.52,681,1,1,1,111,Lost
12571,2,519.61,39,4,2,2,422,Potential Loyalists
12572,2,1020.42,8,5,2,3,523,Potential Loyalists
12573,5,717.41,226,2,4,3,243,Loyal Customers
12574,1,218.45,315,2,1,1,211,Lost
12575,2,622.8199999999999,456,1,2,3,123,Lost
12576,8,2142.72,35,4,4,4,444,Champions
12577,8,1617.1,34,4,4,4,444,Champions
12578,4,4642.45,20,4,3,5,435,Loyal Customers
12579,1,440.42,77,3,1,2,312,At Risk
12580,2,1052.9,246,2,2,3,223,Lost
12581,1,197.71,39,4,1,1,411,Potential Loyalists
12582,4,1980.4,238,2,3,4,234,Loyal Customers
12583,27,13591.58,2,5,5,5,555,Champions
12584,9,2338.15,3,5,5,4,554,Champions
12585,2,2040.1,233,2,2,4,224,Lost
12586,4,2062.67,16,5,3,4,534,Loyal Customers
12587,1,144.0,7,5,1,1,511,Potential Loyalists
12588,4,958.78,38,4,3,3,433,Loyal Customers
12589,8,4695.66,28,4,4,5,445,Champions
12590,2,9864.26,210,2,2,5,225,Lost
12591,3,1338.95,316,2,3,4,234,Loyal Customers
12592,5,2582.66,91,3,4,4,344,Champions
12593,3,418.09999999999997,108,3,3,2,332,At Risk
12594,15,5090.110000000001,37,4,5,5,455,Champions
12595,1,299.02,504,1,1,2,112,Lost
12596,2,618.27,50,4,2,3,423,Potential Loyalists
12597,4,3811.22,18,5,3,5,535,Loyal Customers
12598,11,4534.09,9,5,5,5,555,Champions
12599,13,2296.72,28,4,5,4,454,Champions
12600,21,4967.42,28,4,5,5,455,Champions
12601,6,681.26,189,2,4,3,243,Loyal Customers
12602,1,153.12,58,4,1,1,411,Potential Loyalists
12603,1,739.1999999999999,21,4,1,3,413,Potential Loyalists
12604,2,254.18,78,3,2,1,321,At Risk
12605,4,1232.95,375,2,3,4,234,Loyal Customers
12606,1,21.0,681,1,1,1,111,Lost
12607,1,1579.51,59,3,1,4,314,At Risk
12608,1,415.79,404,2,1,2,212,Lost
12609,9,3435.86,77,3,5,5,355,Champions
12610,5,2099.54,22,4,4,4,444,Champions
12611,1,1193.32,51,4,1,3,413,Potential Loyalists
12612,1,704.0400000000001,73,3,1,3,313,At Risk
12613,10,6817.37,56,4,5,5,455,Champions
12614,1,315.6,277,2,1,2,212,Lost
12615,8,5740.98,1,5,4,5,545,Champions
12616,3,1131.1,94,3,3,3,333,Loyal Customers
12617,1,352.98,28,4,1,2,412,Potential Loyalists
12618,1,177.31,21,4,1,1,411,Potential Loyalists
12619,10,3781.38,15,5,5,5,555,Champions
12620,3,1339.41,14,5,3,4,534,Loyal Customers
12621,35,24311.2,1,5,5,5,555,Champions
12622,1,180.1,231,2,1,1,211,Lost
12623,7,3747.84,275,2,4,5,245,Champions
12624,2,641.13,105,3,2,3,323,At Risk
12625,4,5164.88,211,2,3,5,235,Loyal Customers
12626,9,6620.48,22,4,5,5,455,Champions
12627,7,4478.53,10,5,4,5,545,Champions
12628,3,786.46,3,5,3,3,533,Loyal Customers
12629,2,1558.22,385,2,2,4,224,Lost
12630,2,1270.88,9,5,2,4,524,Potential Loyalists
12631,6,3481.57,56,4,4,5,445,Champions
12632,2,804.88,520,1,2,3,123,Lost
12633,7,5678.16,58,4,4,5,445,Champions
12634,2,490.0,535,1,2,2,122,Lost
12635,4,2930.41,89,3,3,5,335,Loyal Customers
12636,1,141.0,738,1,1,1,111,Lost
12637,12,8283.81,66,3,5,5,355,Champions
12638,2,921.49,32,4,2,3,423,Potential Loyalists
12639,3,1312.37,238,2,3,4,234,Loyal Customers
12640,3,1174.58,23,4,3,3,433,Loyal Customers
12641,1,185.9,114,3,1,1,311,At Risk
12642,3,1013.26,24,4,3,3,433,Loyal Customers
12643,12,8304.82,127,3,5,5,355,Champions
12644,4,1918.49,129,3,3,4,334,Loyal Customers
12645,8,3539.3,33,4,4,5,445,Champions
12646,2,1346.97,4,5,2,4,524,Potential Loyalists
12647,36,16955.55,21,4,5,5,455,Champions
12648,4,1112.0,154,3,3,3,333,Loyal Customers
12649,8,2294.65,106,3,4,4,344,Champions
12650,1,314.44,2,5,1,2,512,Potential Loyalists
12651,4,377.75,334,2,3,2,232,Lost
12652,2,1017.03,330,2,2,3,223,Lost
12653,3,4160.83,148,3,3,5,335,Loyal Customers
12654,5,601.98,10,5,4,2,542,Potential Loyalists
12655,1,261.35,423,1,1,1,111,Lost
12656,8,6407.83,16,5,4,5,545,Champions
12657,4,1643.18,10,5,3,4,534,Loyal Customers
12658,1,686.05,18,5,1,3,513,Potential Loyalists
12659,1,91.68,29,4,1,1,411,Potential Loyalists
12660,1,245.1,10,5,1,1,511,Potential Loyalists
12661,1,162.0,435,1,1,1,111,Lost
12662,20,6726.54,0,5,5,5,555,Champions
12663,2,239.4,624,1,2,1,121,Lost
12664,11,6070.04,7,5,5,5,555,Champions
12665,3,313.6,324,2,3,2,232,Lost
12666,1,1248.42,393,2,1,4,214,Lost
12667,1,620.13,57,4,1,3,413,Potential Loyalists
12668,10,11383.03,11,5,5,5,555,Champions
12669,3,2744.0299999999997,150,3,3,4,334,Loyal Customers
12670,7,3760.29,9,5,4,5,545,Champions
12671,1,2622.481,605,1,1,4,114,Lost
12672,2,437.05,329,2,2,2,222,Lost
12673,3,1230.02,4,5,3,4,534,Loyal Customers
12674,4,1970.6,38,4,3,4,434,Loyal Customers
12675,2,957.25,553,1,2,3,123,Lost
12676,11,2843.09,24,4,5,4,454,Champions
12677,2,395.1,554,1,2,2,122,Lost
12678,21,34281.18,41,4,5,5,455,Champions
12679,4,1113.02,58,4,3,3,433,Loyal Customers
12680,4,880.81,0,5,3,3,533,Loyal Customers
12681,45,29834.76,14,5,5,5,555,Champions
12682,52,22950.22,3,5,5,5,555,Champions
12683,21,11633.7,3,5,5,5,555,Champions
12684,7,2283.63,7,5,4,4,544,Champions
12685,6,2863.08,27,4,4,4,444,Champions
12686,1,89.14,371,2,1,1,211,Lost
12687,2,2138.91,480,1,2,4,124,Lost
12688,1,4873.8099999999995,113,3,1,5,315,At Risk
12689,2,1247.61,25,4,2,4,424,Potential Loyalists
12690,1,389.01,205,2,1,2,212,Lost
12691,7,1170.4,27,4,4,3,443,Loyal Customers
12692,1,110.95,636,1,1,1,111,Lost
12693,7,1703.02,126,3,4,4,344,Champions
12694,3,1843.35,69,3,3,4,334,Loyal Customers
12695,7,1407.1200000000001,6,5,4,4,544,Champions
12696,2,851.91,434,1,2,3,123,Lost
12697,3,957.59,28,4,3,3,433,Loyal Customers
12698,1,339.75,589,1,1,2,112,Lost
12699,1,638.11,417,1,1,3,113,Lost
12700,4,4939.99,7,5,3,5,535,Loyal Customers
12701,6,2446.41,79,3,4,4,344,Champions
12702,1,219.0,19,4,1,1,411,Potential Loyalists
12703,4,1006.53,70,3,3,3,333,Loyal Customers
12704,8,2340.84,6,5,4,4,544,Champions
12705,14,11762.1,14,5,5,5,555,Champions
12707,1,603.42,291,2,1,2,212,Lost
12708,18,5117.66,29,4,5,5,455,Champions
12709,34,30291.76,14,5,5,5,555,Champions
12710,3,1149.02,96,3,3,3,333,Loyal Customers
12711,2,1339.05,611,1,2,4,124,Lost
12712,21,6723.03,28,4,5,5,455,Champions
12713,1,848.55,0,5,1,3,513,Potential Loyalists
12714,12,14093.71,8,5,5,5,555,Champions
12715,1,343.36,105,3,1,2,312,At Risk
12716,2,1053.49,3,5,2,3,523,Potential Loyalists
12717,3,1308.91,150,3,3,4,334,Loyal Customers
12718,1,238.25,70,3,1,1,311,At Risk
12719,2,644.95,4,5,2,3,523,Potential Loyalists
12720,30,7787.28,2,5,5,5,555,Champions
12721,8,4013.08,31,4,4,5,445,Champions
12722,4,997.63,84,3,3,3,333,Loyal Customers
12723,5,725.07,3,5,4,3,543,Loyal Customers
12724,7,2317.52,4,5,4,4,544,Champions
12725,4,2266.76,370,2,3,4,234,Loyal Customers
12726,11,4014.6,27,4,5,5,455,Champions
12727,10,5679.53,10,5,5,5,555,Champions
12728,5,1070.17,70,3,4,3,343,Loyal Customers
12729,1,453.01,113,3,1,2,312,At Risk
12730,1,829.25,521,1,1,3,113,Lost
12731,17,25775.71,23,4,5,5,455,Champions
12732,1,236.26000000000002,179,3,1,1,311,At Risk
12733,4,2424.87,233,2,3,4,234,Loyal Customers
12734,3,639.65,352,2,3,3,233,Loyal Customers
12735,2,779.5699999999999,314,2,2,3,223,Lost
12736,1,234.0,332,2,1,1,211,Lost
12737,2,3710.5,498,1,2,5,125,Lost
12738,1,155.35,371,2,1,1,211,Lost
12739,4,2726.73,77,3,3,4,334,Loyal Customers
12740,1,427.6,63,3,1,2,312,At Risk
12741,2,406.07,528,1,2,2,122,Lost
12742,1,1201.52,625,1,1,3,113,Lost
12743,2,540.13,133,3,2,2,322,At Risk
12744,11,25317.06,51,4,5,5,455,Champions
12745,3,925.41,486,1,3,3,133,Loyal Customers
12746,1,254.55,540,1,1,1,111,Lost
12747,26,8898.48,1,5,5,5,555,Champions
12748,336,53539.64,0,5,5,5,555,Champions
12749,9,6897.36,3,5,5,5,555,Champions
12750,1,275.88,128,3,1,1,311,At Risk
12751,1,268.27,444,1,1,1,111,Lost
12752,1,4366.78,80,3,1,5,315,At Risk
12753,6,21429.39,22,4,4,5,445,Champions
12754,3,3010.74,235,2,3,5,235,Loyal Customers
12755,11,5236.259999999999,280,2,5,5,255,Champions
12756,1,112.07999999999998,86,3,1,1,311,At Risk
12757,13,7834.650000000001,15,5,5,5,555,Champions
12758,7,9903.24,116,3,4,5,345,Champions
12759,8,5020.74,51,4,4,5,445,Champions
12760,1,347.8,455,1,1,2,112,Lost
12761,2,782.95,457,1,2,3,123,Lost
12762,2,1898.52,7,5,2,4,524,Potential Loyalists
12763,2,494.08,137,3,2,2,322,At Risk
12764,1,1693.88,316,2,1,4,214,Lost
12765,6,1404.58,471,1,4,4,144,Champions
12766,9,8918.99,3,5,5,5,555,Champions
12767,1,949.82,375,2,1,3,213,Lost
12768,1,168.69000000000003,450,1,1,1,111,Lost
12769,1,1143.6,238,2,1,3,213,Lost
12770,2,3246.45,210,2,2,5,225,Lost
12771,1,282.3,485,1,1,1,111,Lost
12772,1,892.47,59,3,1,3,313,At Risk
12773,1,124.25,563,1,1,1,111,Lost
12774,1,98.7,535,1,1,1,111,Lost
12775,7,1686.12,16,5,4,4,544,Champions
12776,1,55.5,667,1,1,1,111,Lost
12777,1,519.45,457,1,1,2,112,Lost
12778,9,1775.68,19,4,5,4,454,Champions
12779,14,6474.11,37,4,5,5,455,Champions
12780,1,337.4,598,1,1,2,112,Lost
12781,2,826.74,63,3,2,3,323,At Risk
12782,11,4618.24,4,5,5,5,555,Champions
12783,6,2225.91,1,5,4,4,544,Champions
12784,3,1763.15,8,5,3,4,534,Loyal Customers
12785,3,1100.4,363,2,3,3,233,Loyal Customers
12786,1,728.5,609,1,1,3,113,Lost
12787,4,862.18,9,5,3,3,533,Loyal Customers
12788,4,444.9,462,1,3,2,132,Lost
12789,3,273.35,64,3,3,1,331,At Risk
12790,2,591.85,191,2,2,2,222,Lost
12791,6,863.51,373,2,4,3,243,Loyal Customers
12792,2,827.01,256,2,2,3,223,Lost
12793,3,885.53,334,2,3,3,233,Loyal Customers
12794,2,860.41,52,4,2,3,423,Potential Loyalists
12795,1,430.48,18,5,1,2,512,Potential Loyalists
12796,1,381.0,627,1,1,2,112,Lost
12797,2,552.08,365,2,2,2,222,Lost
12798,4,8510.93,9,5,3,5,535,Loyal Customers
12799,1,219.35,528,1,1,1,111,Lost
12800,3,584.25,469,1,3,2,132,Lost
12801,1,1071.82,500,1,1,3,113,Lost
12802,7,2416.42,186,3,4,4,344,Champions
12803,1,1092.81,392,2,1,3,213,Lost
12804,2,325.37,465,1,2,2,122,Lost
12805,4,1434.95,381,2,3,4,234,Loyal Customers
12806,4,2878.96,434,1,3,4,134,Loyal Customers
12807,1,330.35,382,2,1,2,212,Lost
12808,5,776.7,36,4,4,3,443,Loyal Customers
12809,3,1755.94,177,3,3,4,334,Loyal Customers
12810,2,534.99,534,1,2,2,122,Lost
12811,5,1033.9,260,2,4,3,243,Loyal Customers
12812,1,229.64000000000001,44,4,1,1,411,Potential Loyalists
12813,3,1687.8,501,1,3,4,134,Loyal Customers
12814,1,125.92,101,3,1,1,311,At Risk
12815,2,1063.46,147,3,2,3,323,At Risk
12816,2,572.2,95,3,2,2,322,At Risk
12817,3,690.98,280,2,3,3,233,Loyal Customers
12818,1,1542.08,261,2,1,4,214,Lost
12819,1,540.52,457,1,1,2,112,Lost
12820,11,2689.52,2,5,5,4,554,Champions
12821,2,220.8,213,2,2,1,221,Lost
12822,2,948.88,70,3,2,3,323,At Risk
12823,18,6501.5,74,3,5,5,355,Champions
12824,1,397.12,59,3,1,2,312,At Risk
12825,2,518.63,520,1,2,2,122,Lost
12826,12,2800.75,2,5,5,4,554,Champions
12827,3,430.15000000000003,5,5,3,2,532,Potential Loyalists
12828,6,1018.71,2,5,4,3,543,Loyal Customers
12829,3,385.3,336,2,3,2,232,Lost
12830,6,6814.64,37,4,4,5,445,Champions
12831,3,451.11,261,2,3,2,232,Lost
12832,2,383.03,31,4,2,2,422,Potential Loyalists
12833,1,417.38,144,3,1,2,312,At Risk
12834,1,312.38,282,2,1,2,212,Lost
12835,41,5996.83,427,1,5,5,155,Champions
12836,15,6559.7300000000005,58,4,5,5,455,Champions
12837,2,662.66,172,3,2,3,323,At Risk
12838,10,2975.91,33,4,5,5,455,Champions
12839,26,9669.12,2,5,5,5,555,Champions
12840,7,4041.97,143,3,4,5,345,Champions
12841,40,6958.2,4,5,5,5,555,Champions
12842,4,1917.99,69,3,3,4,334,Loyal Customers
12843,30,6583.36,65,3,5,5,355,Champions
12844,4,648.6,28,4,3,3,433,Loyal Customers
12845,4,354.09,266,2,3,2,232,Lost
12846,1,15.58,681,1,1,1,111,Lost
12847,2,1609.0,21,4,2,4,424,Potential Loyalists
12848,1,208.0,675,1,1,1,111,Lost
12849,6,3042.47,30,4,4,5,445,Champions
12850,1,330.0,445,1,1,2,112,Lost
12851,2,280.76,96,3,2,1,321,At Risk
12852,1,311.55,294,2,1,2,212,Lost
12853,11,3907.5,134,3,5,5,355,Champions
12854,7,2970.9700000000003,78,3,4,5,345,Champions
12855,4,612.84,372,2,3,3,233,Loyal Customers
12856,6,2170.78,7,5,4,4,544,Champions
12857,6,3688.0,210,2,4,5,245,Champions
12858,1,147.27,382,2,1,1,211,Lost
12859,1,575.1,458,1,1,2,112,Lost
12860,1,54.22,692,1,1,1,111,Lost
12861,1,68.25,619,1,1,1,111,Lost
12862,2,984.62,425,1,2,3,123,Lost
12863,6,2792.5499999999997,51,4,4,4,444,Champions
12864,2,299.57,137,3,2,2,322,At Risk
12865,4,3323.47,25,4,3,5,435,Loyal Customers
12866,3,1227.35,282,2,3,4,234,Loyal Customers
12867,13,7829.26,25,4,5,5,455,Champions
12868,8,2043.76,185,3,4,4,344,Champions
12869,1,337.66999999999996,681,1,1,2,112,Lost
12870,3,1676.95,374,2,3,4,234,Loyal Customers
12871,3,744.02,83,3,3,3,333,Loyal Customers
12872,12,3283.96,326,2,5,5,255,Champions
12873,3,2027.3,281,2,3,4,234,Loyal Customers
12874,2,948.42,384,2,2,3,223,Lost
12875,5,1356.99,142,3,4,4,344,Champions
12876,4,4081.79,57,4,3,5,435,Loyal Customers
12877,20,2942.14,3,5,5,5,555,Champions
12878,2,854.99,235,2,2,3,223,Lost
12879,3,573.22,44,4,3,2,432,Potential Loyalists
12880,2,640.13,381,2,2,3,223,Lost
12881,1,298.0,275,2,1,2,212,Lost
12882,2,1463.04,8,5,2,4,524,Potential Loyalists
12883,4,703.47,24,4,3,3,433,Loyal Customers
12884,1,309.05,87,3,1,2,312,At Risk
12885,3,1175.22,62,3,3,3,333,Loyal Customers
12886,2,1378.4,67,3,2,4,324,At Risk
12887,1,222.4,383,2,1,1,211,Lost
12888,2,354.12,213,2,2,2,222,Lost
12889,4,385.46000000000004,380,2,3,2,232,Lost
12890,2,706.02,23,4,2,3,423,Potential Loyalists
12891,11,840.5,185,3,5,3,353,Loyal Customers
12892,1,263.38,396,2,1,1,211,Lost
12893,1,176.55,30,4,1,1,411,Potential Loyalists
12894,1,157.35,574,1,1,1,111,Lost
12895,2,372.8,41,4,2,2,422,Potential Loyalists
12897,4,514.25,204,2,3,2,232,Lost
