Customer_ID,OrderCount,FirstPurchase,LastPurchase,TotalRevenue,AvgTransactionValue,TotalTransactions,CustomerSegment,CustomerType,CustomerLifetime_Days,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12362,11,2009-12-01,2011-12-06,5356.23,20.06078651685393,267,Loyal Customer (10+ orders),Repeat Buyer,735,2,5,5,5,555,Champions
12363,2,2011-04-11,2011-08-22,552.0,24.0,23,Two-Time Buyer,Repeat Buyer,132,109,3,2,2,322,At Risk
12364,4,2011-08-19,2011-12-02,1313.1,15.448235294117646,85,Occasional Buyer (3-5 orders),Repeat Buyer,104,7,5,3,4,534,Loyal Customers
12365,2,2011-02-21,2011-02-21,641.38,29.153636363636362,22,Two-Time Buyer,Repeat Buyer,0,290,2,2,3,223,Lost
12366,1,2010-03-16,2010-03-16,500.24,166.74666666666667,3,One-Time Buyer,One-Time Buyer,0,633,1,1,2,112,Lost
12367,1,2011-12-05,2011-12-05,168.9,15.354545454545455,11,One-Time Buyer,One-Time Buyer,0,3,5,1,1,511,Potential Loyalists
12368,1,2010-03-21,2010-03-21,917.6999999999999,50.98333333333333,18,One-Time Buyer,One-Time Buyer,0,627,1,1,3,113,Lost
12369,3,2010-03-08,2010-10-22,1791.15,19.25967741935484,93,Occasional Buyer (3-5 orders),Repeat Buyer,228,412,1,3,4,134,Loyal Customers
12370,7,2010-02-09,2011-10-19,4316.56,21.47542288557214,201,Regular Buyer (6-10 orders),Repeat Buyer,617,50,4,4,5,445,Champions
12371,5,2010-03-04,2011-10-26,4067.38,24.35556886227545,167,Occasional Buyer (3-5 orders),Repeat Buyer,600,44,4,4,5,445,Champions
12372,3,2011-02-16,2011-09-29,1298.04,24.962307692307693,52,Occasional Buyer (3-5 orders),Repeat Buyer,224,71,3,3,4,334,Loyal Customers
12373,3,2010-02-04,2011-02-01,1127.65,22.110784313725492,51,Occasional Buyer (3-5 orders),Repeat Buyer,362,310,2,3,3,233,Loyal Customers
12374,4,2010-04-30,2011-11-14,2989.2200000000003,36.01469879518073,83,Occasional Buyer (3-5 orders),Repeat Buyer,563,24,4,3,5,435,Loyal Customers
12375,2,2011-09-02,2011-11-29,457.5,26.91176470588235,17,Two-Time Buyer,Repeat Buyer,87,10,5,2,2,522,Potential Loyalists
12376,2,2010-10-18,2010-11-15,503.15,38.70384615384615,13,Two-Time Buyer,Repeat Buyer,28,389,2,2,2,222,Lost
12377,4,2010-04-29,2011-01-28,3426.32,22.54157894736842,152,Occasional Buyer (3-5 orders),Repeat Buyer,274,314,2,3,5,235,Loyal Customers
12378,2,2010-05-26,2011-08-02,5416.32,17.994418604651162,301,Two-Time Buyer,Repeat Buyer,432,129,3,2,5,325,At Risk
12379,4,2010-06-23,2011-09-19,1620.22,20.002716049382716,81,Occasional Buyer (3-5 orders),Repeat Buyer,452,81,3,3,4,334,Loyal Customers
12380,11,2010-02-15,2011-11-18,9676.300000000001,34.93249097472925,277,Loyal Customer (10+ orders),Repeat Buyer,640,21,4,5,5,455,Champions
12381,5,2011-08-12,2011-12-05,1845.31,21.21045977011494,87,Occasional Buyer (3-5 orders),Repeat Buyer,115,4,5,4,4,544,Champions
12383,5,2010-12-22,2011-06-08,1850.56,18.69252525252525,99,Occasional Buyer (3-5 orders),Repeat Buyer,167,184,3,4,4,344,Champions
12384,2,2011-08-10,2011-11-11,585.27,21.676666666666666,27,Two-Time Buyer,Repeat Buyer,92,28,4,2,2,422,Potential Loyalists
12385,1,2010-11-25,2010-11-25,1938.4,29.821538461538463,65,One-Time Buyer,One-Time Buyer,0,378,2,1,4,214,Lost
12386,2,2010-12-08,2011-01-06,401.9,40.19,10,Two-Time Buyer,Repeat Buyer,29,337,2,2,2,222,Lost
12387,1,2010-10-20,2010-10-20,143.94,15.993333333333332,9,One-Time Buyer,One-Time Buyer,0,414,1,1,1,111,Lost
12388,8,2010-05-06,2011-11-24,3901.11,26.719931506849317,146,Regular Buyer (6-10 orders),Repeat Buyer,566,15,5,4,5,545,Champions
12389,3,2010-02-22,2010-11-02,1433.33,29.251632653061222,49,Occasional Buyer (3-5 orders),Repeat Buyer,253,402,2,3,4,234,Loyal Customers
12390,1,2011-09-21,2011-09-21,549.84,17.1825,32,One-Time Buyer,One-Time Buyer,0,79,3,1,2,312,At Risk
12391,6,2010-02-15,2011-11-18,2724.84,10.205393258426966,267,Regular Buyer (6-10 orders),Repeat Buyer,641,21,4,4,4,444,Champions
12392,1,2010-04-27,2010-04-27,234.75000000000003,33.53571428571429,7,One-Time Buyer,One-Time Buyer,0,590,1,1,1,111,Lost
12393,6,2010-10-07,2011-09-28,2399.4500000000003,22.42476635514019,107,Regular Buyer (6-10 orders),Repeat Buyer,356,71,3,4,4,344,Champions
12394,2,2011-05-06,2011-10-07,1272.48,47.12888888888889,27,Two-Time Buyer,Repeat Buyer,153,63,3,2,4,324,At Risk
12395,15,2010-04-16,2011-11-20,4721.17,19.50896694214876,242,Loyal Customer (10+ orders),Repeat Buyer,583,18,5,5,5,555,Champions
12396,1,2010-02-03,2010-02-03,931.43,14.329692307692307,65,One-Time Buyer,One-Time Buyer,0,673,1,1,3,113,Lost
12397,2,2011-07-27,2011-11-04,2409.9,19.126190476190477,126,Two-Time Buyer,Repeat Buyer,99,35,4,2,4,424,Potential Loyalists
12398,1,2011-10-25,2011-10-25,1635.6599999999999,19.24305882352941,85,One-Time Buyer,One-Time Buyer,0,45,4,1,4,414,Potential Loyalists
12399,7,2010-03-05,2011-08-12,1962.3,17.83909090909091,110,Regular Buyer (6-10 orders),Repeat Buyer,525,118,3,4,4,344,Champions
12400,1,2010-10-21,2010-10-21,205.25,18.65909090909091,11,One-Time Buyer,One-Time Buyer,0,413,1,1,1,111,Lost
12401,1,2011-02-09,2011-02-09,84.3,16.86,5,One-Time Buyer,One-Time Buyer,0,302,2,1,1,211,Lost
12402,6,2010-02-07,2011-01-20,1256.9,17.955714285714286,70,Regular Buyer (6-10 orders),Repeat Buyer,347,322,2,4,4,244,Champions
12403,2,2010-07-06,2011-10-21,1019.36,113.26222222222222,9,Two-Time Buyer,Repeat Buyer,471,49,4,2,3,423,Potential Loyalists
12404,1,2010-01-26,2010-01-26,63.24,63.24,1,One-Time Buyer,One-Time Buyer,0,681,1,1,1,111,Lost
12405,1,2011-07-14,2011-07-14,1710.39,31.67388888888889,54,One-Time Buyer,One-Time Buyer,0,148,3,1,4,314,At Risk
12406,5,2010-01-11,2011-11-17,6390.36,38.49614457831325,166,Occasional Buyer (3-5 orders),Repeat Buyer,675,21,4,4,5,445,Champions
12407,5,2011-03-20,2011-10-21,1708.1200000000001,22.183376623376624,77,Occasional Buyer (3-5 orders),Repeat Buyer,214,49,4,4,4,444,Champions
12408,8,2010-07-29,2011-11-07,4340.7699999999995,27.300440251572326,159,Regular Buyer (6-10 orders),Repeat Buyer,465,32,4,4,5,445,Champions
12409,7,2010-05-23,2011-09-22,23419.29,88.70943181818183,264,Regular Buyer (6-10 orders),Repeat Buyer,486,78,3,4,5,345,Champions
12410,3,2010-07-25,2011-02-04,1013.71,25.342750000000002,40,Occasional Buyer (3-5 orders),Repeat Buyer,193,308,2,3,3,233,Loyal Customers
12411,1,2010-10-26,2010-10-26,346.9,15.768181818181818,22,One-Time Buyer,One-Time Buyer,0,409,2,1,2,212,Lost
12412,6,2010-06-18,2011-09-26,2596.93,20.448267716535433,127,Regular Buyer (6-10 orders),Repeat Buyer,464,74,3,4,4,344,Champions
12413,4,2010-11-02,2011-10-04,999.45,19.597058823529412,51,Occasional Buyer (3-5 orders),Repeat Buyer,335,66,3,3,3,333,Loyal Customers
12414,6,2010-09-02,2011-05-06,952.41,34.01464285714285,28,Regular Buyer (6-10 orders),Repeat Buyer,246,216,2,4,3,243,Loyal Customers
12415,28,2010-06-30,2011-11-15,144458.37,156.00255939524837,926,Loyal Customer (10+ orders),Repeat Buyer,503,23,4,5,5,455,Champions
12416,1,2010-02-21,2010-02-21,202.56,18.414545454545454,11,One-Time Buyer,One-Time Buyer,0,656,1,1,1,111,Lost
12417,20,2009-12-06,2011-12-06,6797.41,18.421165311653116,369,Loyal Customer (10+ orders),Repeat Buyer,730,2,5,5,5,555,Champions
12418,4,2010-03-19,2011-08-19,2021.2,19.815686274509805,102,Occasional Buyer (3-5 orders),Repeat Buyer,517,112,3,3,4,334,Loyal Customers
12419,2,2010-10-22,2010-11-19,503.01,20.1204,25,Two-Time Buyer,Repeat Buyer,27,385,2,2,2,222,Lost
12420,1,2011-10-07,2011-10-07,600.39,20.70310344827586,29,One-Time Buyer,One-Time Buyer,0,63,3,1,2,312,At Risk
12421,6,2010-07-22,2011-11-24,1098.6,16.90153846153846,65,Regular Buyer (6-10 orders),Repeat Buyer,489,15,5,4,3,543,Loyal Customers
12422,17,2009-12-18,2011-09-05,5231.8,30.417441860465118,172,Loyal Customer (10+ orders),Repeat Buyer,625,95,3,5,5,355,Champions
12423,10,2010-08-31,2011-12-09,2622.39,15.893272727272727,165,Regular Buyer (6-10 orders),Repeat Buyer,465,0,5,5,4,554,Champions
12424,4,2010-06-09,2011-06-30,3340.03,36.30467391304348,92,Occasional Buyer (3-5 orders),Repeat Buyer,385,162,3,3,5,335,Loyal Customers
12425,2,2010-09-17,2011-09-22,1741.41,19.136373626373626,91,Two-Time Buyer,Repeat Buyer,370,77,3,2,4,324,At Risk
12426,2,2010-02-15,2011-05-29,1345.21,17.470259740259742,77,Two-Time Buyer,Repeat Buyer,468,194,2,2,4,224,Lost
12427,3,2010-12-03,2011-11-18,825.8,26.638709677419353,31,Occasional Buyer (3-5 orders),Repeat Buyer,349,21,4,3,3,433,Loyal Customers
12428,9,2011-03-01,2011-11-14,7956.46,27.062789115646257,294,Regular Buyer (6-10 orders),Repeat Buyer,257,25,4,5,5,455,Champions
12429,8,2010-06-11,2011-11-30,6204.41,40.55169934640523,153,Regular Buyer (6-10 orders),Repeat Buyer,537,8,5,4,5,545,Champions
12430,1,2011-10-27,2011-10-27,256.4,23.30909090909091,11,One-Time Buyer,One-Time Buyer,0,42,4,1,1,411,Potential Loyalists
12431,27,2010-01-15,2011-11-04,10432.22,26.749282051282048,390,Loyal Customer (10+ orders),Repeat Buyer,658,35,4,5,5,455,Champions
12432,5,2011-06-20,2011-10-28,5059.32,46.845555555555556,108,Occasional Buyer (3-5 orders),Repeat Buyer,129,42,4,4,5,445,Champions
12433,10,2010-08-20,2011-12-09,16794.14,30.04318425760286,559,Regular Buyer (6-10 orders),Repeat Buyer,476,0,5,5,5,555,Champions
12434,3,2010-11-23,2011-09-16,1103.43,15.763285714285715,70,Occasional Buyer (3-5 orders),Repeat Buyer,296,84,3,3,3,333,Loyal Customers
12435,6,2009-12-02,2011-09-21,13925.93,124.33866071428572,112,Regular Buyer (6-10 orders),Repeat Buyer,657,79,3,4,5,345,Champions
12436,1,2011-09-01,2011-09-01,509.01,31.813125,16,One-Time Buyer,One-Time Buyer,0,99,3,1,2,312,At Risk
12437,39,2009-12-02,2011-12-08,12683.4,22.52824156305506,563,Loyal Customer (10+ orders),Repeat Buyer,735,1,5,5,5,555,Champions
12438,2,2011-07-22,2011-11-25,2906.85,29.66173469387755,98,Two-Time Buyer,Repeat Buyer,125,13,5,2,4,524,Potential Loyalists
12439,2,2009-12-14,2010-01-26,1142.88,16.096901408450705,71,Two-Time Buyer,Repeat Buyer,43,682,1,2,3,123,Lost
12440,2,2009-12-22,2010-09-03,859.2,26.85,32,Two-Time Buyer,Repeat Buyer,255,461,1,2,3,123,Lost
12441,1,2010-12-08,2010-12-08,173.55,15.77727272727273,11,One-Time Buyer,One-Time Buyer,0,366,2,1,1,211,Lost
12442,1,2011-12-06,2011-12-06,172.06,14.338333333333333,12,One-Time Buyer,One-Time Buyer,0,2,5,1,1,511,Potential Loyalists
12443,1,2009-12-07,2009-12-07,485.31,23.11,21,One-Time Buyer,One-Time Buyer,0,731,1,1,2,112,Lost
12444,5,2011-06-21,2011-11-18,5005.46,28.440113636363638,176,Occasional Buyer (3-5 orders),Repeat Buyer,149,20,4,4,5,445,Champions
12445,2,2010-10-15,2011-11-17,434.98,18.124166666666667,24,Two-Time Buyer,Repeat Buyer,398,21,4,2,2,422,Potential Loyalists
12446,1,2011-10-13,2011-10-13,1002.3100000000001,17.584385964912283,57,One-Time Buyer,One-Time Buyer,0,57,4,1,3,413,Potential Loyalists
12447,1,2011-04-10,2011-04-10,476.49,18.326538461538462,26,One-Time Buyer,One-Time Buyer,0,242,2,1,2,212,Lost
12448,1,2011-10-26,2011-10-26,449.45,20.429545454545455,22,One-Time Buyer,One-Time Buyer,0,43,4,1,2,412,Potential Loyalists
12449,6,2010-09-27,2011-11-17,4835.89,24.05915422885572,201,Regular Buyer (6-10 orders),Repeat Buyer,416,21,4,4,5,445,Champions
12450,5,2010-08-22,2011-07-06,688.2,18.6,37,Occasional Buyer (3-5 orders),Repeat Buyer,318,155,3,4,3,343,Loyal Customers
12451,8,2010-06-28,2011-11-29,12669.88,24.794285714285714,511,Regular Buyer (6-10 orders),Repeat Buyer,518,10,5,4,5,545,Champions
12452,2,2011-11-23,2011-11-23,430.57,19.571363636363635,22,Two-Time Buyer,Repeat Buyer,0,16,5,2,2,522,Potential Loyalists
12453,1,2011-07-28,2011-07-28,707.09,16.443953488372095,43,One-Time Buyer,One-Time Buyer,0,133,3,1,3,313,At Risk
12454,5,2010-10-14,2011-10-14,16679.78,416.99449999999996,40,Occasional Buyer (3-5 orders),Repeat Buyer,364,55,4,4,5,445,Champions
12455,10,2009-12-18,2011-09-27,5879.95,25.902863436123347,227,Regular Buyer (6-10 orders),Repeat Buyer,648,72,3,5,5,355,Champions
12456,3,2011-03-30,2011-10-26,3181.04,25.44832,125,Occasional Buyer (3-5 orders),Repeat Buyer,210,43,4,3,5,435,Loyal Customers
12457,8,2010-09-30,2011-10-04,2995.91,35.665595238095236,84,Regular Buyer (6-10 orders),Repeat Buyer,368,65,3,4,5,345,Champions
12458,4,2010-08-09,2011-09-29,1777.49,21.160595238095237,84,Occasional Buyer (3-5 orders),Repeat Buyer,416,70,3,3,4,334,Loyal Customers
12459,1,2010-04-13,2010-04-13,454.36,19.754782608695653,23,One-Time Buyer,One-Time Buyer,0,604,1,1,2,112,Lost
12460,1,2010-09-09,2010-09-09,326.65,18.147222222222222,18,One-Time Buyer,One-Time Buyer,0,455,1,1,2,112,Lost
12461,2,2011-07-08,2011-09-06,826.88,23.62514285714286,35,Two-Time Buyer,Repeat Buyer,60,93,3,2,3,323,At Risk
12462,2,2011-02-09,2011-11-21,1189.59,19.186935483870965,62,Two-Time Buyer,Repeat Buyer,284,18,5,2,3,523,Potential Loyalists
12463,4,2011-04-12,2011-10-17,1344.78,16.202168674698793,83,Occasional Buyer (3-5 orders),Repeat Buyer,188,52,4,3,4,434,Loyal Customers
12464,8,2011-02-03,2011-11-29,1212.05,41.79482758620689,29,Regular Buyer (6-10 orders),Repeat Buyer,299,9,5,4,3,543,Loyal Customers
12465,2,2011-06-23,2011-11-22,742.1899999999999,15.79127659574468,47,Two-Time Buyer,Repeat Buyer,152,16,5,2,3,523,Potential Loyalists
12466,1,2010-01-26,2010-01-26,56.73,56.73,1,One-Time Buyer,One-Time Buyer,0,681,1,1,1,111,Lost
12467,1,2010-10-12,2010-10-12,132.8,14.755555555555556,9,One-Time Buyer,One-Time Buyer,0,422,1,1,1,111,Lost
12468,5,2010-01-26,2011-06-05,3670.74,24.4716,150,Occasional Buyer (3-5 orders),Repeat Buyer,495,187,3,4,5,345,Champions
12469,2,2010-06-21,2010-07-05,3070.54,40.40184210526316,76,Two-Time Buyer,Repeat Buyer,14,522,1,2,5,125,Lost
12470,1,2010-01-19,2010-01-19,211.95,9.215217391304348,23,One-Time Buyer,One-Time Buyer,0,689,1,1,1,111,Lost
12471,79,2009-12-07,2011-12-07,39918.19,35.17021145374449,1135,Loyal Customer (10+ orders),Repeat Buyer,730,1,5,5,5,555,Champions
12472,19,2009-12-14,2011-11-07,16249.289999999999,19.321391200951247,841,Loyal Customer (10+ orders),Repeat Buyer,693,31,4,5,5,455,Champions
12473,5,2011-06-01,2011-11-10,3928.0499999999997,23.52125748502994,167,Occasional Buyer (3-5 orders),Repeat Buyer,162,28,4,4,5,445,Champions
12474,31,2010-02-11,2011-11-22,12372.75,17.47563559322034,708,Loyal Customer (10+ orders),Repeat Buyer,649,16,5,5,5,555,Champions
12475,2,2010-10-26,2011-10-17,1149.64,18.846557377049184,61,Two-Time Buyer,Repeat Buyer,356,53,4,2,3,423,Potential Loyalists
12476,23,2010-07-26,2011-11-24,14083.91,27.400603112840468,514,Loyal Customer (10+ orders),Repeat Buyer,486,15,5,5,5,555,Champions
12477,9,2010-03-26,2011-11-17,20276.37,35.95101063829787,564,Regular Buyer (6-10 orders),Repeat Buyer,600,22,4,5,5,455,Champions
12478,1,2011-12-06,2011-12-06,680.99,18.91638888888889,36,One-Time Buyer,One-Time Buyer,0,3,5,1,3,513,Potential Loyalists
12479,1,2011-11-28,2011-11-28,527.2,17.006451612903227,31,One-Time Buyer,One-Time Buyer,0,10,5,1,2,512,Potential Loyalists
12480,7,2010-07-20,2011-11-11,5464.85,22.58202479338843,242,Regular Buyer (6-10 orders),Repeat Buyer,479,27,4,4,5,445,Champions
12481,15,2010-04-11,2011-11-17,12185.51,32.06713157894737,380,Loyal Customer (10+ orders),Repeat Buyer,584,22,4,5,5,455,Champions
12482,29,2010-02-24,2010-05-12,23691.4,116.1343137254902,204,Loyal Customer (10+ orders),Repeat Buyer,77,575,1,5,5,155,Champions
12483,19,2010-01-31,2011-11-22,5097.18,36.93608695652174,138,Loyal Customer (10+ orders),Repeat Buyer,660,16,5,5,5,555,Champions
12484,12,2010-01-27,2011-11-07,6354.1,13.490658174097666,471,Loyal Customer (10+ orders),Repeat Buyer,648,32,4,5,5,455,Champions
12485,1,2010-06-28,2010-06-28,708.1,20.826470588235296,34,One-Time Buyer,One-Time Buyer,0,528,1,1,3,113,Lost
12486,1,2010-10-04,2010-10-04,1037.28,21.168979591836734,49,One-Time Buyer,One-Time Buyer,0,431,1,1,3,113,Lost
12487,1,2009-12-09,2009-12-09,285.29999999999995,142.64999999999998,2,One-Time Buyer,One-Time Buyer,0,730,1,1,1,111,Lost
12488,3,2011-09-25,2011-11-30,1298.66,23.612000000000002,55,Occasional Buyer (3-5 orders),Repeat Buyer,65,9,5,3,4,534,Loyal Customers
12489,1,2011-01-07,2011-01-07,334.93,22.328666666666667,15,One-Time Buyer,One-Time Buyer,0,335,2,1,2,212,Lost
12490,21,2009-12-01,2011-12-04,9823.64,21.26329004329004,462,Loyal Customer (10+ orders),Repeat Buyer,733,4,5,5,5,555,Champions
12491,1,2011-11-01,2011-11-01,460.40000000000003,17.70769230769231,26,One-Time Buyer,One-Time Buyer,0,38,4,1,2,412,Potential Loyalists
12492,3,2010-11-01,2011-10-07,715.21,17.028809523809525,42,Occasional Buyer (3-5 orders),Repeat Buyer,340,62,3,3,3,333,Loyal Customers
12493,2,2011-05-26,2011-06-27,433.74,19.715454545454545,22,Two-Time Buyer,Repeat Buyer,31,165,3,2,2,322,At Risk
12494,9,2010-05-12,2011-11-24,1815.27,16.808055555555555,108,Regular Buyer (6-10 orders),Repeat Buyer,560,15,5,5,4,554,Champions
12495,1,2010-03-09,2010-03-09,357.4,21.023529411764706,17,One-Time Buyer,One-Time Buyer,0,640,1,1,2,112,Lost
12496,2,2010-03-29,2010-03-29,45.34,4.534000000000001,10,Two-Time Buyer,Repeat Buyer,0,619,1,2,1,121,Lost
12497,3,2010-03-05,2011-09-19,6248.5,109.62280701754386,57,Occasional Buyer (3-5 orders),Repeat Buyer,563,81,3,3,5,335,Loyal Customers
12498,3,2011-10-13,2011-11-18,403.70000000000005,17.55217391304348,23,Occasional Buyer (3-5 orders),Repeat Buyer,36,20,4,3,2,432,Potential Loyalists
12499,1,2010-05-28,2010-05-28,393.72,14.582222222222223,27,One-Time Buyer,One-Time Buyer,0,559,1,1,2,112,Lost
12500,19,2010-02-04,2011-11-16,5955.21,40.7891095890411,146,Loyal Customer (10+ orders),Repeat Buyer,650,22,4,5,5,455,Champions
12501,1,2011-01-07,2011-01-07,2169.39,14.559664429530201,149,One-Time Buyer,One-Time Buyer,0,336,2,1,4,214,Lost
12502,5,2011-02-03,2011-09-05,3723.87,25.332448979591835,147,Occasional Buyer (3-5 orders),Repeat Buyer,214,95,3,4,5,345,Champions
12503,1,2010-05-04,2010-05-04,1126.0,563.0,2,One-Time Buyer,One-Time Buyer,0,583,1,1,3,113,Lost
12504,4,2010-04-22,2011-11-21,779.05,38.9525,20,Occasional Buyer (3-5 orders),Repeat Buyer,578,17,5,3,3,533,Loyal Customers
12505,1,2010-10-27,2010-10-27,955.2,22.742857142857144,42,One-Time Buyer,One-Time Buyer,0,408,2,1,3,213,Lost
12506,1,2011-04-21,2011-04-21,73.5,3.1956521739130435,23,One-Time Buyer,One-Time Buyer,0,232,2,1,1,211,Lost
12507,4,2010-05-04,2011-07-28,1844.06,37.633877551020404,49,Occasional Buyer (3-5 orders),Repeat Buyer,450,133,3,3,4,334,Loyal Customers
12508,2,2011-11-10,2011-11-13,397.88,5.851176470588236,68,Two-Time Buyer,Repeat Buyer,2,25,4,2,2,422,Potential Loyalists
12509,1,2011-02-28,2011-02-28,176.5,25.214285714285715,7,One-Time Buyer,One-Time Buyer,0,283,2,1,1,211,Lost
12510,9,2009-12-04,2011-07-20,5178.02,35.71048275862069,145,Regular Buyer (6-10 orders),Repeat Buyer,592,142,3,5,5,355,Champions
12511,1,2010-10-07,2010-10-07,3084.02,16.231684210526314,190,One-Time Buyer,One-Time Buyer,0,428,1,1,5,115,Lost
12512,2,2011-10-04,2011-10-04,132.18,4.263870967741935,31,Two-Time Buyer,Repeat Buyer,0,65,3,2,1,321,At Risk
12513,1,2011-08-19,2011-08-19,612.29,17.494,35,One-Time Buyer,One-Time Buyer,0,112,3,1,3,313,At Risk
12514,2,2010-03-08,2011-03-17,1597.76,19.02095238095238,84,Two-Time Buyer,Repeat Buyer,374,266,2,2,4,224,Lost
12515,1,2010-12-21,2010-12-21,383.7,23.98125,16,One-Time Buyer,One-Time Buyer,0,352,2,1,2,212,Lost
12516,4,2010-04-19,2011-09-23,2648.62,35.792162162162164,74,Occasional Buyer (3-5 orders),Repeat Buyer,521,77,3,3,4,334,Loyal Customers
12517,5,2011-06-02,2011-11-11,2481.6,8.894623655913978,279,Occasional Buyer (3-5 orders),Repeat Buyer,161,27,4,4,4,444,Champions
12518,5,2011-08-21,2011-12-09,2056.89,16.58782258064516,124,Occasional Buyer (3-5 orders),Repeat Buyer,109,0,5,4,4,544,Champions
12519,2,2010-08-20,2011-10-07,716.54,18.37282051282051,39,Two-Time Buyer,Repeat Buyer,413,63,3,2,3,323,At Risk
12520,5,2011-03-11,2011-09-21,2634.26,17.330657894736845,152,Occasional Buyer (3-5 orders),Repeat Buyer,194,78,3,4,4,344,Champions
12521,1,2011-07-20,2011-07-20,599.68,15.781052631578946,38,One-Time Buyer,One-Time Buyer,0,142,3,1,2,312,At Risk
12522,2,2011-10-19,2011-10-31,192.72,16.06,12,Two-Time Buyer,Repeat Buyer,12,38,4,2,1,421,Potential Loyalists
12523,23,2009-12-07,2011-11-20,4352.35,17.479317269076308,249,Loyal Customer (10+ orders),Repeat Buyer,712,18,5,5,5,555,Champions
12524,17,2010-02-08,2011-11-30,11126.11,46.35879166666667,240,Loyal Customer (10+ orders),Repeat Buyer,660,8,5,5,5,555,Champions
12525,3,2010-03-02,2010-07-29,973.73,16.228833333333334,60,Occasional Buyer (3-5 orders),Repeat Buyer,149,497,1,3,3,133,Loyal Customers
12526,3,2011-09-06,2011-12-09,1316.66,18.54450704225352,71,Occasional Buyer (3-5 orders),Repeat Buyer,93,0,5,3,4,534,Loyal Customers
12527,5,2010-06-28,2011-09-19,735.51,22.9846875,32,Occasional Buyer (3-5 orders),Repeat Buyer,447,81,3,4,3,343,Loyal Customers
12528,6,2011-01-31,2011-11-30,1933.48,21.01608695652174,92,Regular Buyer (6-10 orders),Repeat Buyer,303,8,5,4,4,544,Champions
12529,1,2010-06-29,2010-06-29,316.48,15.07047619047619,21,One-Time Buyer,One-Time Buyer,0,527,1,1,2,112,Lost
12530,9,2010-03-07,2011-10-11,3759.26,23.792784810126584,158,Regular Buyer (6-10 orders),Repeat Buyer,582,59,3,5,5,355,Champions
12531,2,2010-01-22,2011-11-25,1933.2,15.222047244094489,127,Two-Time Buyer,Repeat Buyer,671,14,5,2,4,524,Potential Loyalists
12532,1,2011-11-09,2011-11-09,349.83000000000004,21.864375000000003,16,One-Time Buyer,One-Time Buyer,0,29,4,1,2,412,Potential Loyalists
12533,2,2009-12-01,2010-03-22,1367.89,18.998472222222222,72,Two-Time Buyer,Repeat Buyer,110,627,1,2,4,124,Lost
12534,1,2011-08-01,2011-08-01,1089.18,17.28857142857143,63,One-Time Buyer,One-Time Buyer,0,130,3,1,3,313,At Risk
12535,2,2011-06-06,2011-09-09,716.35,21.069117647058825,34,Two-Time Buyer,Repeat Buyer,94,91,3,2,3,323,At Risk
